_id,OBJECTID,GEO_ID,NAME,SCHOOL_LEVEL,SCHOOL_TYPE,BOARD_NAME,SOURCE_ADDRESS,SCHOOL_TYPE_DESC,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE_ID,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,X,Y,LATITUDE,LONGITUDE,geometry
3868,1,7963754,Avondale Public School,,EP,Toronto District School Board,25 Bunty Lane,English Public,7963754,25,Bunty Lane,25 Bunty Lane,M2K 1W4,North York,Toronto,Bayview Middle School,102001,7963734,25,,,,5064,314026.623,4848287.934,43.77650206,-79.38518999,"{u'type': u'Point', u'coordinates': (-79.3851867443, 43.776493457)}"
3869,2,7315504,Avondale Secondary Alternative School,,EP,Toronto District School Board,24 Silverview Dr,English Public,7315504,24,Silverview Dr,24 Silverview Dr,M2M 2B3,North York,Toronto,Griffin Centre,102001,7315505,24,,,,6720,311879.691,4849375.563,43.78631511,-79.41184641,"{u'type': u'Point', u'coordinates': (-79.4118431542, 43.7863065106)}"
3870,3,20258267,AYJ Global Academy,,PR,,4 Lansing Sq,Priv,20258267,4,Lansing Sq,4 Lansing Sq,M2J 5A2,North York,Toronto,,104008,438287,4,,,,6007,318854.727,4848028.516,43.77409117,-79.32521964,"{u'type': u'Point', u'coordinates': (-79.3252164121, 43.7740825707)}"
3871,4,7102999,Bais Brucha School,,PR,,3077 Bathurst St,Priv,7102999,3077,Bathurst St,3077 Bathurst St,M6A 1Z9,North York,Toronto,,104008,7102975,3077,,,,436,310459.388,4841999.775,43.71993598,-79.42957024,"{u'type': u'Point', u'coordinates': (-79.4295669915, 43.7199273887)}"
3872,5,9171677,Bais Chaya Mushka Elementary School,,PR,,4375 Chesswood Dr,Priv,9171677,4375,Chesswood Dr,4375 Chesswood Dr,M3J 2C2,North York,Toronto,,115001,9171675,4375,,,,5187,306600.741,4846528.168,43.76071682,-79.47744525,"{u'type': u'Point', u'coordinates': (-79.4774419814, 43.7607082264)}"
3873,6,487179,Bais Chomesh High School for Girls,,PR,,3600 Bathurst St,Priv,487179,3600,Bathurst St,3600 Bathurst St,M6A 2C9,North York,Toronto,Shaarei Tefillah Congregation,109001,443540,3600,,,,436,310175.573,4843242.529,43.73112439,-79.4330802,"{u'type': u'Point', u'coordinates': (-79.4330769431, 43.7311158004)}"
3874,7,559733,Bais Yaakov Elementary School,,PR,,15 Saranac Blvd,Priv,559733,15,Saranac Blvd,15 Saranac Blvd,M6A 2G4,North York,Toronto,Bais Yaakov School,102001,444794,15,,,,6657,310273.736,4842166.471,43.72142926,-79.43186945,"{u'type': u'Point', u'coordinates': (-79.4318694439, 43.7214292567)}"
3875,8,325461,Baitul Mukarram Academy School,,PR,,3334 Danforth Ave,Priv,325461,3334,Danforth Ave,3334 Danforth Ave,M1L 1C6,Scarborough,Toronto,,104008,112943,3334,,,,86,322668.431,4839110.743,43.69373881,-79.27814103,"{u'type': u'Point', u'coordinates': (-79.2781378251, 43.6937302132)}"
3876,9,9848255,Bala Avenue Community School,,EP,Toronto District School Board,6 Bala Ave,English Public,9848255,6,Bala Ave,6 Bala Ave,M6M 2E1,York,Toronto,Bala Avenue School,102001,9848256,6,,,,428,304863.781,4838612.904,43.6894708,-79.49901555,"{u'type': u'Point', u'coordinates': (-79.4990122716, 43.6894622238)}"
3877,10,7667200,Balmy Beach Community School,,EP,Toronto District School Board,14 Pine Ave,English Public,7667200,14,Pine Ave,14 Pine Ave,M4E 1L6,former Toronto,Toronto,Balmy Beach Community Recreation Centre - Building Grounds,106007,14673229,14,,,,4190,321731.021,4837186.996,43.67643591,-79.28982694,"{u'type': u'Point', u'coordinates': (-79.2898269415, 43.6764359195)}"
3878,11,486277,Bannockburn School,,PR,,12 Bannockburn Ave,Priv,486277,12,Bannockburn Ave,12 Bannockburn Ave,M5M 2M8,North York,Toronto,,102001,443339,12,,,,4880,311060.382,4843566.259,43.73403159,-79.42209327,"{u'type': u'Point', u'coordinates': (-79.4220900215, 43.7340229972)}"
3879,12,338836,Banting and Best Public School,,EP,Toronto District School Board,380 Goldhawk Trl,English Public,338836,380,Goldhawk Trl,380 Goldhawk Trl,M1V 4E7,Scarborough,Toronto,Banting & Best Public School,102001,103029,380,,,,7999,322467.285,4853878.786,43.8266729,-79.28015374,"{u'type': u'Point', u'coordinates': (-79.2801505227, 43.8266642817)}"
3880,13,514037,Bay School of Canada,,PR,,245 Fairview Mall Dr,Priv,514037,245,Fairview Mall Dr,245 Fairview Mall Dr,M2J 4T1,North York,Toronto,,104008,437784,245,,,,5548,317513.592,4848653.137,43.77973766,-79.34186462,"{u'type': u'Point', u'coordinates': (-79.3418613935, 43.7797290542)}"
3881,14,487550,Baycrest Public School,,EP,Toronto District School Board,145 Baycrest Ave,English Public,487550,145,Baycrest Ave,145 Baycrest Ave,M6A 1W4,North York,Toronto,Baycrest Public School,102001,444124,145,,,,4905,309275.696,4842740.799,43.72661437,-79.44425476,"{u'type': u'Point', u'coordinates': (-79.4442515074, 43.7266057772)}"
3882,15,11414990,Bayview Glen,,PR,,85 Moatfield Dr,Priv,11414990,85,Moatfield Dr,85 Moatfield Dr,M3B 3L6,North York,Toronto,,115001,11415001,85,,,,6235,316714.948,4846352.372,43.75904116,-79.35183691,"{u'type': u'Point', u'coordinates': (-79.3518336806, 43.7590325568)}"
3883,16,4833178,Bayview Glen Independent School,,PR,,275 Duncan Mill Road,Priv,4833178,275,Duncan Mill Rd,275 Duncan Mill Rd,M3B 3H9,North York,Toronto,,104008,30005251,275,,,,5455,316748.728,4846560.865,43.76091729,-79.35141286,"{u'type': u'Point', u'coordinates': (-79.3514096245, 43.7609086818)}"
3884,17,7963754,Bayview Middle School,,EP,Toronto District School Board,25 Bunty Lane,English Public,7963754,25,Bunty Lane,25 Bunty Lane,M2K 1W4,North York,Toronto,Bayview Middle School,102001,7963734,25,,,,5064,314026.623,4848287.934,43.77650206,-79.38518999,"{u'type': u'Point', u'coordinates': (-79.3851867443, 43.776493457)}"
3885,18,7586388,Beach Hebrew Institute Synagogue and School,,PR,,109 Kenilworth Ave,Priv,7586388,109,Kenilworth Ave,109 Kenilworth Ave,M4L 3S4,former Toronto,Toronto,,109001,14676088,109,,,,3763,320795.1,4836393.098,43.66931924,-79.30146062,"{u'type': u'Point', u'coordinates': (-79.301457404, 43.6693106513)}"
3886,19,876040,Beaches Alternative Jr School,,EP,Toronto District School Board,50 Swanwick Ave,English Public,876040,50,Swanwick Ave,50 Swanwick Ave,M4E 1Z5,former Toronto,Toronto,Kimberly Public School Junior,102001,14016131,50,,,,4519,320979.398,4837872.185,43.68262856,-79.29913109,"{u'type': u'Point', u'coordinates': (-79.299127884, 43.6826199723)}"
3887,20,7640837,Beacon of Light Private Elementary School,,PR,,2191 Gerrard St E,Priv,7640837,2191,Gerrard St E,2191 Gerrard St E,M4E 2C6,former Toronto,Toronto,,100001,7640834,2191,,,,3495,320842.068,4837976.335,43.68356898,-79.30083127,"{u'type': u'Point', u'coordinates': (-79.3008280647, 43.6835603974)}"
3888,21,1019694,Beaumonde Heights Jr Middle School,,EP,Toronto District School Board,70 Monterrey Dr,English Public,1019694,70,Monterrey Dr,70 Monterrey Dr,M9V 1T1,Etobicoke,Toronto,Beaumonde Heights Public School,102001,906829,70,,,,2134,298700.784,4844558.719,43.74296573,-79.57553384,"{u'type': u'Point', u'coordinates': (-79.5755305356, 43.7429571366)}"
3889,22,7792874,Bedford Park Public School,,EP,Toronto District School Board,81 Ranleigh Ave,English Public,7792874,81,Ranleigh Ave,81 Ranleigh Ave,M4N 1X2,former Toronto,Toronto,Bedford Park Community Centre - Building Grounds,106007,7792835,81,,,,4253,312838.442,4842882.932,43.7278547,-79.40002762,"{u'type': u'Point', u'coordinates': (-79.4000276204, 43.7278547019)}"
3890,23,312976,Bellmere Jr Public School,,EP,Toronto District School Board,470 Brimorton Dr,English Public,312976,470,Brimorton Dr,470 Brimorton Dr,M1H 2E6,Scarborough,Toronto,Bellmere Junior Public School,102001,108018,470,,,,7437,326106.186,4847812.86,43.77197789,-79.23515007,"{u'type': u'Point', u'coordinates': (-79.2351468752, 43.7719692864)}"
3891,24,386802,Ben Heppner Vocal Music Academy,,EP,Toronto District School Board,80 Slan Ave,English Public,386802,80,Slan Ave,80 Slan Ave,M1G 3B5,Scarborough,Toronto,Heather Heights Junior Public School,102001,107600,80,,,,8966,327721.347,4848172.24,43.77516449,-79.21507191,"{u'type': u'Point', u'coordinates': (-79.2150687264, 43.7751558784)}"
3892,25,2820831,Bendale Business and Technical Institute,,EP,Toronto District School Board,1555 Midland Ave,English Public,2820831,1555,Midland Ave,1555 Midland Ave,M1P 3C1,Scarborough,Toronto,Bendale BTI,102002,2820380,1555,,,,8496,323728.787,4845958.239,43.75534836,-79.26474629,"{u'type': u'Point', u'coordinates': (-79.2647430888, 43.7553397581)}"
3893,26,307066,Bendale Jr Public School,,EP,Toronto District School Board,61 Benshire Dr,English Public,307066,61,Benshire Dr,61 Benshire Dr,M1H 1M4,Scarborough,Toronto,Bendale Junior Public School,102001,108929,61,,,,7343,325325.806,4846765.882,43.76257573,-79.24488345,"{u'type': u'Point', u'coordinates': (-79.2448802576, 43.7625671184)}"
3894,27,2945619,Bennington Heights Elementary School,,EP,Toronto District School Board,76 Bennington Heights Dr,English Public,2945619,76,Bennington Heights Dr,76 Bennington Heights Dr,M4G 1B1,East York,Toronto,Bennington Heights School,102001,2945649,76,,,,30,315299.554,4839112.214,43.69389105,-79.36955587,"{u'type': u'Point', u'coordinates': (-79.3695526334, 43.6938824574)}"
